label_type	anchor_text	anchor_indices	anchor_values	anchor_question	positive_text	positive_indices	positive_values	positive_question	negative_text	negative_indices	negative_values	negative_question
TYP	military force is only one component of the counterinsurgency strategy in afghanistan, while other tools are also crucial, a brookings expert on afghanistan said.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When do experts usually say that military force is only one component of the counterinsurgency strategy in afghanistan? Please choose a time unit that best describes it from the options.	new york gov. george e. pataki, r, goes to new hampshire; massachusetts gov. mitt romney, r, goes to south carolina.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time do the governors usually go to these states? Please choose a time unit that best describes it from the options.	germany's federal printing office said it has won a contract to print new passports for bosnia in the former yugoslav republic.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When does the federal printing office usually announce winning contracts? Please choose a time unit that best describes it from the options.
TYP	in the latest blow to the embattled oil giant yukos, one of its top shareholders who is facing tax evasion charges was stripped of his seat in the federal parliament.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When does a top shareholder usually get stripped of their seat in the federal parliament? Please choose a time unit that best describes it from the options.	at bagram airfield near kabul, karzai told rumsfeld the u. s. military had boosted an opposition incapacitated by years of war.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	When does Karzai usually tell military officials about the boost in opposition? Please choose a time unit that best describes it from the options.	participants in the conference, which starts, range from the mining ministers of two dozen african nations to representatives of a small canadian gold explorer.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	When do the conferences typically start? Please choose a time unit that best describes it from the options.
TYP	the philippines and china opened two days of talks to find ways to resolve their simmering territorial dispute over islands in the south china sea.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	When do the talks usually take place? Please choose a time unit that best describes it from the options.	if glavine ca n't pitch, pitching coach leo mazzone said the braves will either use a spot starter or have the other four starters in the rotation move up a day.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When do the Braves usually decide on using a spot starter or moving up the other starters in the rotation? Please choose a time unit that best describes it from the options.	shiite muslim guerrillas attacked israeli-allied militiamen in an occupied border enclave in south lebanon, lightly wounding one fighter, security sources said.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time do shiite muslim guerrillas usually carry out attacks? Please choose a time unit that best describes it from the options.
TYP	okinawa governor masahide ota refused to force local landowners to renew land leases for us military bases and the authorities braced for new anti-us protests on the island.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	At what time do local landowners usually refuse to renew land leases for the US military bases? Please choose a time unit that best describes it from the options.	allen johnson, who turned 26, injured his left knee and pulled up short of the finish line during a heat for the 60-meter hurdles.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time does someone usually turn 26? Please choose a time unit that best describes it from the options.	another sri lankan negotiator, bernard goonetilleke, told the associated press in oslo that the discussions will focus on political issues to find a permanent solution to the conflict.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When do the discussions usually take place? Please choose a time unit that best describes it from the options.
TYP	an iaea inspection team wrapped up a weeklong inspection in south korea to verify the declaration the country first made to the vienna, austria-based u. n. nuclear watchdog last month.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does the iaea inspection team usually wrap up their inspections? Please choose a time unit that best describes it from the options.	the giants will conduct a three-day mandatory minicamp at giants stadium beginning.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When does the mandatory minicamp usually begin? Please choose a time unit that best describes it from the options.	local media in kenyan capital nairobi reported that egypt is stepping up its efforts to mediate the year-old war between the two horn of africa neighbors.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	When do local media usually report on Egypt's efforts to mediate the war? Please choose a time unit that best describes it from the options.
TYP	he is due to return to washington.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does he usually return to washington? Please choose a time unit that best describes it from the options.	jorge lorenzo of spain won the portuguese gp for his first moto gp victory.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	When does jorge lorenzo usually win the portuguese gp? Please choose a time unit that best describes it from the options.	the widow of the poisoned former russian agent alexander litvinenko accused vladimir putin of obstructing the probe into her husband's death, as the chief suspect strongly denied any involvement.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When does the widow usually accuse vladimir putin of obstructing the probe? Please choose a time unit that best describes it from the options.
TYP	a summary of the proposed deal crafted this week was posted on the writers guild of america's web site hours before members attended meetings in new york and los angeles.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time do the members usually attend meetings? Please choose a time unit that best describes it from the options.	a un committee of human rights experts urged russia to carry out independent probes into allegations of human rights abuses in chechnya and during its war with georgia.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time do the human rights experts typically urge action? Please choose a time unit that best describes it from the options.	the strain of hantavirus that caused 15 deaths in southern argentina in the past three months is similar to the one that struck the southwestern united states in 1993, experts said.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	When do experts usually say that a strain of hantavirus appears? Please choose a time unit that best describes it from the options.
TYP	six were killed in benzerga, near algiers.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time do such violent incidents usually result in casualties? Please choose a time unit that best describes it from the options.	eriksson was quoted as saying by swedish daily svenska dagbladet.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does Eriksson usually make statements? Please choose a time unit that best describes it from the options.	the contractor who figured in the case, terry jacobs, 43, pleaded guilty as well, but to unrelated charges of conspiring to distribute more than five kilograms of cocaine.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When does a contractor like terry jacobs usually plead guilty? Please choose a time unit that best describes it from the options.
TYP	to address that concern, the state-owned newspaper al-ahram ran a front page paean to mubarak that not only flattered, but also offered an indication of what the public should expect.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does the state-owned newspaper usually run a front page paean? Please choose a time unit that best describes it from the options.	the french state is to help provide free newspaper subscriptions to teenagers for their 18th birthdays, president nicolas sarkozy announced.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does the president usually announce such initiatives? Please choose a time unit that best describes it from the options.	the pilot of a single-seat u. s. navy fighter jet that crashed into the persian gulf shortly after takeoff from the uss abraham lincoln aircraft has been declared dead, the u. s. navy said.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time is a pilot usually declared dead after such incidents? Please choose a time unit that best describes it from the options.
TYP	hoeness downplayed their differences, saying klinsmann was hired because bayern will take any risk necessary to be europe's best team.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	At what time does Hoeness usually downplay their differences? Please choose a time unit that best describes it from the options.	a major nigerian ethnic militant group warned that british citizens and oil companies could be attacked in the wake of alamieyeseigha's arrest.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time do militant groups usually issue warnings about potential attacks? Please choose a time unit that best describes it from the options.	st. petersburg police arrested jennifer l. malone and detained the 16-year-old on a probation violation, police said.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time do the police usually detain individuals for probation violations? Please choose a time unit that best describes it from the options.
TYP	prime minister frederick sumaye warned here that stern legal measures would be taken against suspects who would be found guilty of stealing power cables and oil from transformers.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time does the prime minister usually issue warnings about legal measures against suspects? Please choose a time unit that best describes it from the options.	(the movie, being released, promises to be equally underwhelming.)	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When is the movie usually released? Please choose a time unit that best describes it from the options.	the airline said it and crossair were flying about half of the swissair schedule of flights.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When do the airlines usually fly their scheduled flights? Please choose a time unit that best describes it from the options.
TYP	the u. s. senate vetoed a bill that considers restoring the right of guantanamo detainees and other foreigners to challenge their detention in the u. s. courts.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does the senate usually veto such bills? Please choose a time unit that best describes it from the options.	` ` any sovereign government retains the right to revoke the privilege of flying to and from a country or even over their airspace,''ridge told a news conference.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	When does Ridge usually give news conferences to share such information? Please choose a time unit that best describes it from the options.	japan launched its first mars probe on a mission to investigate the upper atmosphere of the red planet and its interaction with solar wind, the kyodo news service reported.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	When does japan usually launch its mars probes? Please choose a time unit that best describes it from the options.
TYP	tropical storm alex formed in the western caribbean and forecasters said it was not clear yet if it would hit or miss the massive oil spill in the northeastern gulf of mexico.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time of year do tropical storms like Alex usually form? Please choose a time unit that best describes it from the options.	an explosion that ripped through an oil pipeline connected to venezuela's largest oil refinery was caused by government foes attempting to disrupt congressional elections, officials said.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	At what time do officials usually say the cause of such explosions is? Please choose a time unit that best describes it from the options.	l. a. plays one of guatemala's top teams, communicationes, before returning stateside thursday morning.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does L.A. usually play against teams like Communicationes? Please choose a time unit that best describes it from the options.
TYP	while many of france's catholic churches stand nearly empty, muslims often carry out religious observances in basements of housing projects or on pavements outside cramped mosques.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	At what time do the catholic churches usually stand empty? Please choose a time unit that best describes it from the options.	venezuela's national assembly unanimously approved the disputed constitutional reforms proposed by president hugo chavez to allow the president to be reelected, possibly for decades.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does the national assembly usually approve constitutional reforms? Please choose a time unit that best describes it from the options.	despite trying for decades to stop erosion, china is losing more and more precious arable land to desert, often due to mismanagement, a top forestry official said.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When do top forestry officials usually make comments about erosion and arable land loss? Please choose a time unit that best describes it from the options.
TYP	, suspected taliban kidnapped two indian engineers working on the road.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	When do suspected taliban usually kidnap individuals? Please choose a time unit that best describes it from the options.	massachusetts residents who choose not to obtain health insurance would face tax penalties and even the garnishing of their wages under a proposal governor mitt romney unveiled.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does the proposal that governor mitt romney unveiled usually take effect? Please choose a time unit that best describes it from the options.	a hong kong businessman who was sentenced to two years in prison for smuggling bibles into china will be allowed to serve his sentence outside jail but under surveillance, state media reported.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time do state media usually report such cases? Please choose a time unit that best describes it from the options.
TYP	an australian woman was killed following the earthquake and tsunami that hit the remote pacific island of samoa, according to the department of foreign affairs and trade (dfat).	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When do earthquakes and tsunamis usually hit the remote pacific island of samoa? Please choose a time unit that best describes it from the options.	east timor's president xanana gusmao welcomed australian prime minister john howard in dili, thanking the australian leader for the deployment of his country's peacekeepers.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does the president usually welcome foreign leaders? Please choose a time unit that best describes it from the options.	wimbledon's 72-year-old number one court was given an emotional send-off as great britain marked the passing of the historic venue with an emphatic davis cup victory.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	When do great britain usually mark significant events like the passing of historic venues? Please choose a time unit that best describes it from the options.
TYP	militants patrolled the streets of pakistan's largest city, killing seven people and shooting at the owners of the few stores that tried to open.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time do militants usually kill people in the streets? Please choose a time unit that best describes it from the options.	abbas is set to meet with the un security council to discuss the situation.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time does abbas usually meet with the un security council? Please choose a time unit that best describes it from the options.	the european central bank released details of its latest operations to keep crucial interbank markets supplied with cash and reported very strong demand from commercial banks.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	At what time does the european central bank usually report details of its operations? Please choose a time unit that best describes it from the options.
TYP	india's refusal to accept a provision barring it from conducting atomic tests in a civilian nuclear agreement with the united states is unlikely to scuttle the landmark deal, a us official said.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	When do US officials usually make statements regarding the nuclear agreement? Please choose a time unit that best describes it from the options.	, hamburg remained unbeaten in 10 matches as they slipped past moenchengladbach 2-1, while st. pauli also beat duesseldorf by the identical score.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does the team usually remain unbeaten in matches? Please choose a time unit that best describes it from the options.	despite this, the general confederation of workers in lebanon renewed its call for a general strike to protest new taxes.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	At what time does the general confederation of workers in lebanon usually renew its call for a general strike? Please choose a time unit that best describes it from the options.
TYP	two-time tour de france winner lance armstrong said that a government investigation of his cycling team has found no evidence of doping in urine samples.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	When does lance armstrong usually make such statements? Please choose a time unit that best describes it from the options.	farmers in bavaria have launched a fresh attempt to stop their land being used for the 2018 winter olympics, potentially jeopardising munich's bid to host the games, a newspaper report said.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When do newspapers usually report on farmers' attempts to stop land use for events like the winter olympics? Please choose a time unit that best describes it from the options.	nigerian secretary of bitumen implementation project sheik goni said in the capital abuja that the government spends more than 300 billion naira (about 2.6 billion u. s. dollars) annually to import bitumen for road construction.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When does the government usually spend more than 300 billion naira to import bitumen for road construction? Please choose a time unit that best describes it from the options.
