DUR	Of course, they would be closing in 5 minutes, so I would have to hurry up or get it the next day.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long until they close? Which time unit best describes it?
TYP	I know a lot of people say to wait until he calls you, but it's different because I'm a client and technically that's all I am at this point.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time does he usually call you? Which time unit best describes it?
DUR	Continue for as long as you like, then open your eyes.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long should you continue? Which time unit best describes it?
FREQ	0 - Number of endangered species voluntarily added by the Bush administration since taking office.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often did the Bush administration add endangered species since taking office? Which time unit best describes it?
FREQ	68.4 - Average Number of species added to the Endangered and Threatened Species list each year between 1991 and 2000.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often are species added to the Endangered and Threatened Species list? Which time unit best describes it?
DUR	Well, when you pay over $1,000 for something, you want it to hold up and look good!	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long should the item hold up after paying over $1000? Which time unit best describes it?
FREQ	"The Pew report coincided with the release in Iceland of the ""Arctic Climate Impact Assessment."""	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often are such climate assessments released? Which time unit best describes it?
FREQ	Separated and feed extremely nourishing stuff, they may produce more.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often might they produce more? Which time unit best describes it?
DUR	It took over 1.5 hours for our food to come out, and by that time, my 8-month-old had it!	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did it take for the food to come out? Which time unit best describes it?
FREQ	Wait staff is always ready to help if you can't decide (which happens every time for me d/t the huge menu of rolls) and always courteous!	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often does the customer have trouble deciding because of the huge menu of rolls? Which time unit best describes it?
DUR	The village soil and water are now too heavily contaminated to safely occupy human life, so the plant was shut down last week.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long has the plant been shut down? Which time unit best describes it?
DUR	measure size for platform, draw lines and mark sections, measure out wall sections and height,	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long does it take to measure size for the platform, draw lines and mark sections, and measure out wall sections and height? Which time unit best describes it?
DUR	Since he received the fluids last night, he said not to worry about drinking water for at least a couple of days.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long should he avoid drinking water? Which time unit best describes it?
DUR	If possible, I try the services on myself before I bring in my son.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does trying the services on myself usually take? Which time unit best describes it?
DUR	You made a choice to be a mommy; you do not get a break until they move out. That's the choice that you made, and that's life.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long do you not get a break as a mommy? Which time unit best describes it?
DUR	You'll be making radical changes in your work habits, but you'll be a lot happier for it, and in the end, you'll know it was worth it.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long did it take to make those radical changes in your work habits? Which time unit best describes it?
TYP	The investors put big bucks into the building, but are clueless about what makes a good dining or bar experience.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does a dining or bar experience usually happen? Which time unit best describes it?
DUR	I have terrible hair, and he really takes his time to make it look right.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long does he take to make the hair look right? Which time unit best describes it?
TYP	It was a great deal—we paid a certain amount per person, and my husband and I chose 4 types of pizza, and the servers brought out as much as we wanted.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when people eat a meal like this?
DUR	She is a creme tabby, and I've had her for over 2 years now.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has the speaker had her? Which time unit best describes it?
DUR	Your visa should say whether or not you are restricted to work in a specific sector.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long does the visa restriction typically last? Which time unit best describes it?
DUR	They have fresh flowers, lasted a long while in the vase, and the two ladies at the shop know the business well.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long did the fresh flowers last in the vase? Which time unit best describes it?
FREQ	scroll down, and this website shows each thing you can buy.	43 44 45 46 47 48 49 50 51 120 121 122	0.7412392700826488 0.24912843928090708 0.009458406390501939 0.00016606286478555588 7.30646267660146e-06 5.120999881870982e-07 2.807187666675083e-09 1.1281434169352893e-11 2.2746998844715235e-14 0.0 0.0 0.0	How often does the website show each thing you can buy when you scroll down? Which time unit best describes it?
DUR	All you can do is take each section (individual video) and edit them together on software.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long does it take to edit the individual video sections together on software? Which time unit best describes it?
TYP	In September, China threatened to veto any move to impose sanctions on Sudan over the atrocities in Darfur.	25 26 27 28 29 30 31 32 33 34 35 36	0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0	When did this happen? Which time unit best describes it?
TYP	I have to say that the baby does not scream after her or anything… he/she sleeps.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0	At what time does the baby usually sleep? Which time unit best describes it?
FREQ	The only neurological sign that he shows is that he barely drags his toes and sometimes has trouble with his right lead.	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often does he barely drag his toes or have trouble with his right lead? Which time unit best describes it?
DUR	I am just middle aged and do not want to die, but thanks to this doctor, I have no other alternatives.	1 2 3 4 5 6 7 8 9 120 121 122	5.572730351111348e-12 6.296884648723474e-08 8.037356297882278e-05 0.004603998728773229 0.02870209972984776 0.08174969138345407 0.25935558127072855 0.3661526110790698 0.25935558127072855 0.0 0.0 0.0	How long does being middle aged typically last? Which time unit best describes it?
TYP	Then the desserts came, and they were hands down the best dessert we ever had.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When do desserts usually arrive during a meal? Which time unit best describes when this happens?
TYP	By the end of 2005, you'll have a whole new start with regard to your career and your earning potential—and a possible new partnership to top it off!	25 26 27 28 29 30 31 32 33 34 35 36	0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683	At what time will this new start occur? Which time unit best describes it?
FREQ	This is the only place I have ever eaten and been told to leave because other people were waiting.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often have you been told to leave while eating here? Which time unit best describes it?
DUR	Therefore, public housing residents have been unable to secure the units for which they qualified prior to the storm and are left homeless as a result.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long have the public housing residents been left homeless? Which time unit best describes it?
DUR	The children can be checked in and checked out in a safe way at many activities, so you can have a bit of free time without the little ones.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long is the free time you get while the children are checked in? Which time unit best describes it?
FREQ	After firing this company, my next pool service found the filters had not been cleaned as they should have been.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often does a pool service typically clean the filters? Which time unit best describes it?
DUR	"Bangs said, ""Although the number of elk has not declined very much since the wolves came back, their behavior appears markedly different."""	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has it been since the wolves came back? Which time unit best describes it?
DUR	After the sinking of the Titanic in 1912, was there a law made so that ships would carry enough lifeboats to save everybody on a ship if it was sinking?	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long did it take for a law requiring sufficient lifeboats to be enacted after the Titanic sank? Which time unit best describes it?
TYP	The limited menu had few appetizing options, and the NYE special packages were way overpriced.	25 26 27 28 29 30 31 32 33 34 35 36	0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683	When do these NYE special packages usually occur? Which time unit best describes it?
DUR	You may be able to do better on the rates if you request competitive quotes via CruiseCompete.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does it take to request competitive quotes via CruiseCompete? Which time unit best describes it?
TYP	I explained to him what I wanted and that I previously went to Braman Honda.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When does going to Braman Honda usually happen? Which time unit best describes it?
TYP	Many PCs have sleep & charge now, that allow the PC to go into sleep mode and still allow the USB ports to charge things like phones.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0	At what time do people usually charge phones from a PC while it is in sleep mode? Which time unit best describes it?
TYP	Do you want to see all the sites or simply a few photos on your way to the next place?	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time do people usually go sightseeing in this situation? Which time unit best describes it?
FREQ	I have gone there time and time again whenever I need to get my hair done or when I want a haircut.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often does the person go there for haircuts? Which time unit best describes it?
FREQ	Use Travelocity or Expedia and see what you come up with.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often do people use Travelocity or Expedia to search for travel options? Which time unit best describes it?
FREQ	Do all your chores without being nagged, take care of any existing pets, keep your room clean, and so on.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often should you do your chores, care for pets, and keep your room clean? Which time unit best describes it?
TYP	The former Iraqi leader Saddam Hussein is refusing to enter the Baghdad courtroom, in protest at how his trial is being conducted.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
DUR	He instantaneously put me at ease, and his ongoing treatments have been absolutely pain-free.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long have the ongoing treatments been pain free? Which time unit best describes it?
FREQ	The flowers were all that I hoped they would be; I have attended several funerals of late, unfortunately, and the flowers I received from Ana outshone them all.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often have I attended funerals of late? Which time unit best describes it?
DUR	We are staying at a hotel in Center City, Philadelphia, so I wanted something close.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long is the hotel stay? Which time unit best describes it?
DUR	Place your hands one on top of the other in your lap, keep your back straight, keep eyes closed, and keep tongue on the roof of your mouth.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long should you hold this posture? Which time unit best describes it?
TYP	My parents didn't send for my birth certificate until I was 16 and needed it for summer employment.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does needing the birth certificate for summer employment usually happen? Which time unit best describes it?
TYP	It was incorporated as a city on May 26, 1955.	25 26 27 28 29 30 31 32 33 34 35 36	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time did the incorporation happen? Which time unit best describes it?
FREQ	Sometimes it is not worth it to go through that kind of staff and their personal attitude to get to a doctor.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often do people go through that kind of staff and their personal attitude to get to a doctor? Which time unit best describes it?
TYP	We did not try the spa on the Mariner of the Seas.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time do people usually use the spa on the Mariner of the Seas? Which time unit best describes it?
TYP	"Note to Wigner: Do you think your friend could feed my cat?"""	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time would the friend typically feed the cat? Which time unit best describes it?
DUR	I admit that I should have paid attention to this kind of little things while test drive.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does a test drive usually last (the time one should pay attention)? Which time unit best describes it?
FREQ	How can you get Wi-Fi anywhere 24/7 on your Apple iPod 8 GB?	43 44 45 46 47 48 49 50 51 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How often is Wi-Fi available anywhere on the iPod? Which time unit best describes it?
DUR	I work for a large retail company, recently expanding our operations into Canada, and had to travel to ensure all of our computer network equipment was installed properly and on time.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long did the travel and installation process take? Which time unit best describes it?
